DATE,STAR,LIKE,REVIEW
20210610,별표 5개 만점에 1개를 받았습니다.,1,별도 주기 싫다ㅋㅋㅋㅋㅋ 진짜 최악임
20210226,별표 5개 만점에 1개를 받았습니다.,36,쿠팡이츠 스토어도 하고 시간날때면 배달파트너도하고 배달도 잘시켜먹거든요 진짜 허접한부분은 기사가 잘못두고오면 손님은 연락처알길이없음 가게저나하니 그새 가게문닫음 이런 경우는 전혀 생각하지않은채 어플개발한건지 글고 떼가는돈은 배달앱에서 최고 비싸고 대략 건당6천원대고 웬만하면 배달파트너하면 건당 3천원대 너무 떼가는게많아요
20210412,별표 5개 만점에 2개를 받았습니다.,1,배달원 배정 시간이 느려요.. 제가 조리시간을 10-15분으로 설정해도 배달원이 25분뒤에 오는데 ㅎㅎㅎ 음식은 더 빨리 만들 수 있는데 배달원 배정 시간때문에 일부러 늦게 조리합니다 그리고 리뷰에 댓글다는 기능 좀 만들어주세요
20210527,별표 5개 만점에 1개를 받았습니다.,1,조리시간 15분설정 후 시간내조리완료 근데 배달파트너 매장도착이 30분뒤에옴 치타배달은 무슨 ㅡㅡ 고객한테최종도착 55분걸림 장난치냐?
20210401,별표 5개 만점에 1개를 받았습니다.,1,업데이트하라해서 하는데 설치가 안되요 짜증
20210227,별표 5개 만점에 1개를 받았습니다.,21,분명 고객이 추가하신 사이드메뉴를 기사가가져감 손님 사이드메뉴안왔다고 리뷰 별1에 거지같이글씀 업소입장으로써 댓글도못달고 억울하게 당해야함 고객센터전화했더니 상담사말투 띠껍고 나한테 머라하냐는식임 상담사를하지말던가 고객주소도정보도 안나옴 상황대처조차 할수없이 앉아서 당하는꼴 자영업업소가 먼 샌드백도아니고 억울하게 당해야만하는건가? 상담원들도 말투자체부터가 항상 화나있고 친절하지도않음
20200924,별표 5개 만점에 2개를 받았습니다.,52,알람온오프기능 생긴건 좋아요. 드디어 일하나보네요. 다만 서비스측면이 별로에요. 메뉴 추가 및 메뉴명 바꾸는것도 왜 항상 메일을 통해서 해야하는지 이해가 안됩니다. 번거롭고 오래걸리고. 그리고 쿠팡 기사님들 교육을 좀 진행해주세요. 적어도 기사 등록전에 기본적으로 숙지하거나 예의등에 대해서요 쿠팡이츠는 기사님들이 따로 배달대행업체가 아닌 투잡하시는분들이 많은걸로 알고있고 실제로 그런분들이 매장에 많이 찾아주세요. 다만 기사님들로써 기본적으로 알아두셔야 할것들 예를들어 매장에 들어갔을때 함부로 주방에 들어가면 안되는 것들 . 주문금액으로 판단하지말고 주문번호로 확인할것들. 등등 기본적인 교육을 좀 진행하시길 바랍니다. 기사들 앱에서 뜨는 금액은 배달료가 제외된금액이기에 맨날 이거 맞냐고 물어보시는 기사님들이 태반입니다. 정신없이 바쁜데 주방에 불쑥 들어오질 않나 기사님들이 모르셔서 그럴 수 있다하지만 가끔 저도모르게 쿠팡기사님들은 좀 쌀쌀맞게 대해지더군요.
20200909,별표 5개 만점에 1개를 받았습니다.,12,앱 자체로도 거지같고 고객센터는 인성이 거지같습니다. 메뉴 수정 및 추가는 도대체 왜 이렇게 복잡한 과정을 거쳐야 하나요? 메뉴 수정하거나 추가하려면 이메일로 보내라는데 그것도 2~3일 걸려 반영된다네요. 하루하루 바뀌는거 반영해야되는 분들은 어쩌나요?? 메뉴관련 메뉴는 왜 스토어 앱에서만 접근이 가능하죠? 포스 프로그램과 인터넷 홈페이지에서도 가능하게 되어야 하는거 아닌가요?? 그리고 고객센터는 가맹점 사장님들을 자기 아래로 보나요? 다 그러진 않겠지만 제가 경험해본 분은 본인보다 목소리만 들어도 나이가 많은 사람인데도 어미만 존댓말이지 훈계조로 말하고.. 쿠팡 고객만 고객이고 스토어 입점해서 수수료 내는 사장님은 고객도 아니에요? 나도 쿠팡 월회비내고 쓰는 사람인데ㅋㅋㅋㅋ암튼 지금까지는 별로입니다. 개선해주셨음 좋겠어요.
20200927,별표 5개 만점에 2개를 받았습니다.,23,"메뉴수정은 정말 문제가 많은거 같습니다. 수정요청한게 빨리 이뤄지지않는건 고사하고 식당인데 갑자기 커피,디저트메뉴가 생긴건 뭘까요..수정이 어떻게 이뤄지는 모르겠지만 당황스러워요. 항상 들어가서 확인하는거도 아닌데 뜬금없이 저희가 없는 메뉴 파는 가게가 되잖아요.."
20200212,별표 5개 만점에 1개를 받았습니다.,11,근무하지않을때도 어플에 알림기능을 끌수없어 로그아웃을 반복하고있습니다. 소량재고의 경우 수량부족으로인한 주문취소 방지를 위해 품절처리중입니다. 최대 가능수량입력이 가능하다면 좋을것 같습니다. 또 고객과 통화후 주문수락여부 결정이 필요한경우 쉼없이 알림이 울리고 통화중 쿠팡측에서 일방적 취소처리를해버리는 경우가 있어 고객에게 재주문 양해를 구해야함. 보류 버튼같은게 있으면 좋을듯합니다.
20190725,별표 5개 만점에 1개를 받았습니다.,11,"불편한점이 너무 많습니다. 피시로 메뉴품절선택도 안되고 소리 줄이는 것이 안돼요.. 앱도 너무 불안정하고 튕김현상까지 불안정합니다. 손님입장에서 좋을 수 있지만 그만큼 사업자, 점주에게도 편해야하는데 여러가지 비교해보았을 때 불편한점이 많습니다. 문의를 드려도 불만건이 접수되는 건 같지않더라구요. 빠른시일내에 이런 불편한 점들이 개선됐으면 좋겠습니다."
20200919,별표 5개 만점에 1개를 받았습니다.,8,"메뉴수정, 추가 하나 하는걸 영업일 4일이면 주말 2일 포함 6일동안 변경전 메뉴로 장사하라는 말인지원.. 고객센터 전화하면 죄없는 상담원들만 죄송하다 전달하겠다만 앵무새처럼 반복하고.. 그냥 메뉴수정도 알아서 할수있게 좀 바꿉시다. 일처리 진짜 더럽게 더디네"
20210113,별표 5개 만점에 1개를 받았습니다.,50,"모든앱 통틀어서 최악의앱. 메뉴직접 설정 못하고, 배달비나 최소주문도 다 고객센터에 연락해야 됨.그렇다고 바로 되는것도 아니고 1,2주 지나도 변경조차 되지않고 연락도 없음.서비스 미비한데 수수료는 또 겁나가져감. 역사에 남을정도로 안좋은 서비스. 사업 문어발 확장의 부작용 선례로 남을법함"
